Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
322674,Influenza - Avian,H5N1 HPAI,Americas,Northern America,United States of America,Idaho,Canyon County,43.65,-116.65,OIE,Confirmed,Domestic,Unspecified Bird,18/05/2022,21/05/2022,,
322838,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,SAINT-ASTIER,44.726756,0.257752,OIE,Confirmed,Domestic,Duck,15/05/2022,24/05/2022,,
323532,Influenza - Avian,H5N1 HPAI,Americas,Northern America,United States of America,Idaho,Ada County,43.576,-116.354,OIE,Confirmed,Domestic,Unspecified Bird,13/05/2022,26/05/2022,,
322440,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Hungary,Bacs-kiskun,Kiskunmajsa,46.518168,19.678617,OIE,Confirmed,Domestic,Unspecified Bird,09/05/2022,19/05/2022,,
322477,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Hungary,Csongrad,Csengele,46.532906,19.82251,OIE,Confirmed,Domestic,Unspecified Bird,07/05/2022,19/05/2022,,
321629,Influenza - Avian,H5N1 HPAI,Americas,Northern America,Canada,Alberta,Lethbridge County (AB-IP23),49.89,-112.7,OIE,Confirmed,Domestic,Unspecified Bird,01/05/2022,06/05/2022,,
322695,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Hungary,Bacs-kiskun,Kiskunmajsa,46.49305,19.77214,OIE,Confirmed,Domestic,Unspecified Bird,01/05/2022,24/05/2022,,
322840,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Poitou-Charentes,CHAPELLE-SAINT-LAURENT,46.713722,-0.497662,OIE,Confirmed,Domestic,Duck,25/04/2022,24/05/2022,,
321571,Influenza - Avian,H5N1 HPAI,Americas,Northern America,Canada,Alberta,Vermilion River County (AB-IP19),53.51,-110.14,OIE,Confirmed,Domestic,Unspecified Bird,23/04/2022,06/05/2022,,
321136,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,BESSE,44.676438,1.105486,OIE,Confirmed,Domestic,Unspecified Bird,21/04/2022,02/05/2022,,
321064,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Poitou-Charentes,MAULEON,46.910901,-0.701332,OIE,Confirmed,Domestic,Unspecified Bird,18/04/2022,02/05/2022,,
320363,Influenza - Avian,H5N1 HPAI,Asia,Eastern Asia,Japan,Hokkaidoo,Shiraoi-Town1,42.5512,141.3558,OIE,Confirmed,Domestic,Unspecified Bird,15/04/2022,25/04/2022,,
321049,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,CLERE-SUR-LAYON,47.077094,-0.459752,OIE,Confirmed,Domestic,Unspecified Bird,14/04/2022,02/05/2022,,
320352,Influenza - Avian,H5N1 HPAI,Americas,Northern America,United States of America,Michigan,Macomb County,42.593,-82.864,OIE,Confirmed,Domestic,Unspecified Bird,10/04/2022,22/04/2022,,
320991,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Poitou-Charentes,e,46.777878,-0.2583,OIE,Confirmed,Domestic,Unspecified Bird,10/04/2022,02/05/2022,,
320995,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,LACROPTE,45.045448,0.806607,OIE,Confirmed,Domestic,Unspecified Bird,07/04/2022,02/05/2022,,
320524,Influenza - Avian,H5N1 HPAI,Asia,Eastern Asia,Japan,Hokkaidoo,Kitami-City2,43.8032,143.8947,OIE,Confirmed,Wild,Large-Billed Crow (Corvus Macrorhynchos),06/04/2022,27/04/2022,,
319722,Influenza - Avian,H5N1 HPAI,Americas,Northern America,United States of America,Minnesota,Meeker County,45.146,-94.501,OIE,Confirmed,Domestic,Turkey,04/04/2022,15/04/2022,,
319716,Influenza - Avian,H5N1 HPAI,Americas,Northern America,United States of America,South Dakota,Lake County,44.023,-97.129,OIE,Confirmed,Domestic,Turkey,01/04/2022,15/04/2022,,
321694,Influenza - Avian,H5N1 HPAI,Asia,South-Eastern Asia,Philippines,Region III (Central Luzon),San Juan,15.051898,120.83952,OIE,Confirmed,Domestic,Unspecified Bird,01/04/2022,09/05/2022,,
321026,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,dd,47.156192,-1.073024,OIE,Confirmed,Domestic,Unspecified Bird,31/03/2022,02/05/2022,,
319648,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Baden-Wuerttemberg,Ellwangen (Jagst),48.981,10.133,OIE,Confirmed,Wild,Anatidae (Incognita),28/03/2022,14/04/2022,,
318420,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,GUYONNIERE,46.977375,-1.23065,OIE,Confirmed,Domestic,Guinea Fowl,24/03/2022,04/04/2022,,
318382,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,BEAUPREAU-EN-MAUGES,47.208133,-0.962604,OIE,Confirmed,Domestic,Guinea Fowl,22/03/2022,04/04/2022,,
321110,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,hhh,47.125401,-0.797827,OIE,Confirmed,Domestic,Unspecified Bird,19/03/2022,02/05/2022,,
316022,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Romania,Braila,BRAILA,45.248296,27.950795,OIE,Confirmed,Wild,Gull,14/03/2022,18/03/2022,,
317799,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Sachsen,Pirna,50.972,13.904,OIE,Confirmed,Wild,Anatidae (Unidentified):Anatidae (Incognita)(Anatidae),14/03/2022,30/03/2022,,
318771,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Limburg,Reuver,51.29,6.07,OIE,Confirmed,Wild,Buzzard,14/03/2022,05/04/2022,,
318859,Influenza - Avian,H5N1 HPAI,Asia,Eastern Asia,Japan,Hokkaidoo,Hamatonbetsu-Town1,45.1239,142.36,OIE,Confirmed,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2022,07/04/2022,,
316247,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Ireland,Donegal,Drumatinny,55.157665,-8.08925,OIE,Confirmed,Wild,Great Cormorant (Phalacrocorax Carbo),09/03/2022,22/03/2022,,
315800,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,PORNIC,47.096946,-1.952194,OIE,Confirmed,Domestic,Duck,04/03/2022,14/03/2022,,
316954,Influenza - Avian,H5N1 HPAI,Asia,Eastern Asia,Republic of Korea,Seoul,Magok-dong,37.5772,126.8268,OIE,Confirmed,Wild,Unspecified Bird,04/03/2022,27/03/2022,,
316019,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Denmark,Fyn,Haarby,55.2202,10.119,OIE,Confirmed,Wild,Herring Gull:larus Argentatus(Laridae),02/03/2022,17/03/2022,,
319643,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,Reu?enk?ge,54.47,9.513889,OIE,Confirmed,Wild,Anatidae (Incognita),01/03/2022,12/04/2022,,
315194,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,LEGE,46.938704,-1.596935,OIE,Confirmed,Domestic,Duck,28/02/2022,07/03/2022,,
315163,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,essarts en bocage,46.805289,-1.128513,OIE,Confirmed,Domestic,Duck,26/02/2022,07/03/2022,,
314527,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Niedersachsen,Garrel,53,8.05,OIE,Confirmed,Domestic,Unspecified Bird,25/02/2022,28/02/2022,,
314535,Influenza - Avian,HPAI,Americas,Northern America,United States of America,New York,Ulster County  New York,41.89,-74.26,National authorities,Confirmed,Domestic,Unspecified Bird,24/02/2022,25/02/2022,,
316016,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Denmark,Koebenhavn,T?rnby,55.6019,12.5762,OIE,Confirmed,Wild,Barnacle Goose:branta Leucopsis(Anatidae),18/02/2022,17/03/2022,,
323548,Influenza - Avian,H5N1 HPAI,Americas,Northern America,United States of America,Florida,Brevard County,28.554,-80.846,OIE,Confirmed,Wild,Vulture,17/02/2022,26/05/2022,,
314230,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Gelderland,Apeldoorn,52.18,5.9866,OIE,Confirmed,Wild,Gull,16/02/2022,18/02/2022,,
314381,Influenza - Avian,H5N1 HPAI,Americas,Northern America,United States of America,New York,Suffolk County,40.937,-72.702,OIE,Confirmed,Domestic,Unspecified Bird,13/02/2022,23/02/2022,,
313515,Influenza - Avian,H5N1 HPAI,Asia,Eastern Asia,Republic of Korea,Chungchongbuk-do,Jogok-ri,36.8937,127.825,OIE,Confirmed,Domestic,Duck,12/02/2022,15/02/2022,,
314341,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Denmark,Vestsjaelland,Kors?r,55.3,11.3,OIE,Confirmed,Wild,Barnacle Goose:branta Leucopsis(Anatidae),12/02/2022,20/02/2022,,
316256,Influenza - Avian,H5N1 HPAI,Asia,Eastern Asia,Japan,Iwate,Kuji-City9,40.1907,141.7755,OIE,Confirmed,Wild,Greater White-Fronted Goose (Anser Albifrons),12/02/2022,22/03/2022,,
323581,Influenza - Avian,H5N1 HPAI,Americas,Northern America,Canada,New Brunswick / Nouveau-Brunswick,Fundy Shore and Saint John Area,45.57,-65.71,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),12/02/2022,27/05/2022,,
314227,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Limburg,Well,51.57,6.08,OIE,Confirmed,Wild,Barnacle Goose:branta Leucopsis(Anatidae),11/02/2022,18/02/2022,,
314215,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Gelderland,Oldebroek,52.46,6.01,OIE,Confirmed,Wild,Barnacle Goose:branta Leucopsis(Anatidae),09/02/2022,18/02/2022,,
313100,Influenza - Avian,H5N1 HPAI,Asia,Eastern Asia,Republic of Korea,Chungchongbuk-do,Samyong-ri,36.8944,127.4676,OIE,Confirmed,Domestic,Unspecified Bird,07/02/2022,10/02/2022,,
314196,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Gelderland,Bennekom,51.99,5.67,OIE,Confirmed,Wild,Greylag Goose:anser Anser(Anatidae),07/02/2022,18/02/2022,,
313520,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Spain,Andaluc?a,Niebla,37.3749,-6.6616,OIE,Confirmed,Domestic,Turkey,06/02/2022,15/02/2022,,
313400,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Berlin,Berlin,52.42,13.42,OIE,Confirmed,Wild,Accipitridae (Accipitridae),03/02/2022,11/02/2022,,
314073,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Hungary,Gyor-moson-sopron,Barbacs,47.6315,17.3144,OIE,Confirmed,Wild,White Tailed Eagle (Haliaeetus Albicilla),01/02/2022,17/02/2022,,
312724,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Gelderland,Vuren,51.86,5.08,OIE,Confirmed,Domestic,Chicken,31/01/2022,03/02/2022,,
313232,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,Koldenb?ttel,54.386,9.064922,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),31/01/2022,10/02/2022,,
314421,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Zuid-holland,Schellinkhout,52,4.666667,OIE,Confirmed,Wild,Barnacle Goose:branta Leucopsis(Anatidae),30/01/2022,18/02/2022,,
313660,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,BATS,43.659775,-0.45564,OIE,Confirmed,Domestic,Unspecified Bird,28/01/2022,15/02/2022,,
313231,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,Brunsb?ttel,54.47,9.513889,OIE,Confirmed,Wild,Anatidae (Unidentified):Anatidae (Incognita)(Anatidae),26/01/2022,10/02/2022,,
314313,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Denmark,Koebenhavn,Kirke V?rl?se,55.7842,12.3172,OIE,Confirmed,Wild,Greylag Goose:anser Anser(Anatidae),26/01/2022,22/02/2022,,
313646,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,SAINT-GEIN,43.827699,-0.314347,OIE,Confirmed,Domestic,Chicken,24/01/2022,15/02/2022,,
313296,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,Brokdorf,54.47,9.513889,OIE,Confirmed,Wild,Anatidae (Unidentified):Anatidae (Incognita)(Anatidae),20/01/2022,10/02/2022,,
311827,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Nordrhein-Westfalen,xanten,51.699,6.43,OIE,Confirmed,Wild,Anatidae (Unidentified):Anatidae (Incognita)(Anatidae),17/01/2022,19/01/2022,,
313589,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,MONTFORT-EN-CHALOSSE,43.709263,-0.849199,OIE,Confirmed,Domestic,Duck,17/01/2022,15/02/2022,,
311805,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Portugal,Setubal,LAGOA DE SANTO ANDRE,38.07978,-8.78044,OIE,Confirmed,Wild,Greylag Goose:anser Anser(Anatidae),15/01/2022,19/01/2022,,
313242,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,Hasenmoor,53.926,10.001,OIE,Confirmed,Wild,Swan,15/01/2022,10/02/2022,,
311582,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Gelderland,Ermelo,52.31,5.617,OIE,Confirmed,Wild,Barnacle Goose:branta Leucopsis(Anatidae),13/01/2022,14/01/2022,,
312697,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Spain,Castilla y Le?n,Fuenterrebollo,41.3071,-3.9355,OIE,Confirmed,Domestic,Turkey,13/01/2022,03/02/2022,,
311255,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,MONSEGUR,43.603698,-0.550432,OIE,Confirmed,Domestic,Duck,11/01/2022,13/01/2022,,
311578,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Noord-holland,Amsterdam,52.38,5.01,OIE,Confirmed,Wild,Barnacle Goose:branta Leucopsis(Anatidae),11/01/2022,14/01/2022,,
311822,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Hamburg,Hamburg,53.523,9.946,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),11/01/2022,19/01/2022,,
311209,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,ORTHEZ,43.504969,-0.750521,OIE,Confirmed,Domestic,Duck,10/01/2022,13/01/2022,,
313613,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,LAURET,43.566585,-0.344455,OIE,Confirmed,Domestic,Duck,10/01/2022,15/02/2022,,
311013,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Poland,Wielkopolskie,Kaliszkowice Kaliskie,51.518889,18.039167,OIE,Confirmed,Domestic,Unspecified Bird,09/01/2022,12/01/2022,,
310949,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Zuid-holland,Oostvoorne,52,4.666667,OIE,Confirmed,Wild,Barnacle Goose:branta Leucopsis(Anatidae),07/01/2022,10/01/2022,,
311028,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Sachsen-Anhalt,Havelberg,52.825,12.078,OIE,Confirmed,Wild,Anatidae (Unidentified):Anatidae (Incognita)(Anatidae),04/01/2022,12/01/2022,,
310956,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Slovenia,Podravska,Pragersko,46.3848,15.6696,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),01/01/2022,11/01/2022,,
310969,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Austria,Steiermark,Hartberg-F?rstenfeld,47.0734,16.0102,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),01/01/2022,11/01/2022,,
311465,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Lound,53.37,-0.94,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),01/01/2022,14/01/2022,,
311456,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Otley,53.89,-1.72,OIE,Confirmed,Wild,Buzzard,31/12/2021,14/01/2022,,
311470,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Birkenhead,53.39,-3.03,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),31/12/2021,14/01/2022,,
313403,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Hessen,V?hl,51.18,8.88,OIE,Confirmed,Wild,Anatidae (Unidentified):Anatidae (Incognita)(Anatidae),31/12/2021,11/02/2022,,
310561,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Slovenia,Jugovzodna Slovenija,novo mesto,45.8054,15.1706,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),29/12/2021,04/01/2022,,
312995,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,Westerdeichstrich,54.157526,8.834017,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),29/12/2021,09/02/2022,,
310770,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Rhone-Alpes,versailleux,45.993009,5.099277,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),27/12/2021,10/01/2022,,
312921,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,Brokdorf,54.47,9.513889,OIE,Confirmed,Wild,Anatidae (Unidentified):Anatidae (Incognita)(Anatidae),27/12/2021,07/02/2022,,
310052,Influenza - Avian,H5N1 HPAI,Asia,Western Asia,Israel,Central District,GIVAT YOAV,32.38,34.93,OIE,Confirmed,Domestic,Turkey,25/12/2021,27/12/2021,,
310795,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Zuid-holland,Zwijndrecht,51.81,4.6,OIE,Confirmed,Wild,Barnacle Goose:branta Leucopsis(Anatidae),25/12/2021,10/01/2022,,
310369,Influenza - Avian,H5N1 HPAI,Africa,Western Africa,Nigeria,Bauchi,Jumpy II  Toro,10.4352,9.3117,OIE,Confirmed,Domestic,Unspecified Bird,24/12/2021,04/01/2022,,
312711,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,Galmsb?ll,54.766,8.703,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),23/12/2021,03/02/2022,,
316970,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,No Man's Heath,52.576,-1.5454,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),23/12/2021,25/03/2022,,
310460,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Hamburg,Hamburg,53.671,10,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),21/12/2021,06/01/2022,,
310588,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,Campagna Lupia,45.32952,12.13465,OIE,Confirmed,Wild,Teal,17/12/2021,05/01/2022,,
309323,Influenza - Avian,H5N1 HPAI,Asia,Eastern Asia,Hong Kong  SAR,Administrative unit not available,Hong Kong Wetland Park  Tin Shui Wai,22.46452,114.00852,OIE,Confirmed,Wild,Black-Faced Spoonbill (Platalea Minor),16/12/2021,20/12/2021,,
311215,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,AREN,43.257543,-0.680154,OIE,Confirmed,Domestic,Duck,16/12/2021,13/01/2022,,
311246,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Nord-Pas-de-Calais,HERZEELE,50.879498,2.519091,OIE,Confirmed,Domestic,Chicken,16/12/2021,13/01/2022,,
318334,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Scotland,Kemnay,57.23,-2.45,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),15/12/2021,01/04/2022,,
309161,Influenza - Avian,H5 HPAI,Europe,Western Europe,Netherlands,Noord-holland,Hollum,52.666667,4.833333,OIE,Confirmed,Wild,Barnacle Goose:branta Leucopsis(Anatidae),13/12/2021,14/12/2021,,
308825,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,Pavone Del Mella,45.297588,10.221751,OIE,Confirmed,Domestic,Unspecified Bird,06/12/2021,12/12/2021,,
308612,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,Ospedaletto Euganeo,45.252575,11.603946,OIE,Confirmed,Domestic,Unspecified Bird,05/12/2021,09/12/2021,,
