0,collection_date,country,host,isolate,strain
DQ862460.1,2004-01-27 00:00:00,Russia: Primorsky krai,Homo sapiens,,Glubinnoe/2004
EF469661.1,1979-01-27 00:00:00,Russia: Irkutsk region,Ixodes persulcatus,,178-79
EF469662.1,1984-01-27 00:00:00,Russia: Irkutsk region,Clethrionomys rufocanus,,886-84
FJ402885.1,1985-07-20 00:00:00,Russia,Homo sapiens,,Kavalerovo
FJ402886.1,1973-06-04 00:00:00,Russia,Homo sapiens,,Dalnegorsk
FJ906622.1,1987-05-17 00:00:00,Russia,Homo sapiens,,Primirye-89
FJ968751.1,2008-05-27 00:00:00,Russia,Ixodes pavlovskyi,Kolarovo-2008,
FJ997899.1,1990-06-18 00:00:00,Russia,Homo sapiens,,Primorye-90
GQ228395.1,1997-04-13 00:00:00,Russia,Homo sapiens,,Primorye-18
GQ266392.1,2005-01-27 00:00:00,Germany: Amberg,Ixodes ricinus (tick),AS33,
GU121642.1,2008-07-28 00:00:00,Russia,Homo sapiens,,Svetlogorie
GU183379.1,2003-01-27 00:00:00,Finland,mouse,,Kumlinge 25-03
GU183380.1,1952-01-27 00:00:00,Finland,mouse,,Kumlinge A52
GU183381.1,1960-01-27 00:00:00,Finland,mouse,,Joutseno
GU183382.1,1996-01-27 00:00:00,Latvia,mouse,,Latvia-1-96
GU183383.1,2000-01-27 00:00:00,Estonia,mouse,,Est3476
GU183384.1,2000-01-27 00:00:00,Estonia,mouse,,Est54
HM535610.1,2006-01-27 00:00:00,South Korea,Apodemus agrarius,,KrM 213
HM535611.1,2006-01-27 00:00:00,South Korea,Apodemus agrarius,,KrM 93
HM859894.1,1978-01-27 00:00:00,Russia,Ixodes persulcatus,,Primorye-633
HM859895.1,1985-01-27 00:00:00,Russia,Ixodes persulcatus,,Primorye-2239
HQ201303.1,1992-05-13 00:00:00,Russia,Homo sapiens,,Primorye-92
HQ901366.1,2009-01-27 00:00:00,Russia,Homo sapiens,,Primorye-1153
HQ901367.1,2010-01-27 00:00:00,Russia,Homo sapiens,,Primorye-501
JF316707.1,2010-06-27 00:00:00,China: Mudanjiang,Homo sapiens,,MDJ-02
JF316708.1,2010-06-17 00:00:00,China: Mudanjiang,Homo sapiens,,MDJ-03
JF819648.2,1937-01-27 00:00:00,"Russia: Far East, Primorskii Kray",Homo sapiens,,SofjinKSY
JN003205.1,2008-01-27 00:00:00,Russia,Homo sapiens,,Irkutsk-1861
JN003206.1,1963-01-27 00:00:00,Russia,Homo sapiens,,Aina
JN003207.1,1995-01-27 00:00:00,Russia,Homo sapiens,,Cht-653
JN003208.1,2002-01-27 00:00:00,Russia,Homo sapiens,,Cht-22
JN003209.1,2010-01-27 00:00:00,Russia,Homo sapiens,,Irkutsk-12
JQ429588.1,2010-07-27 00:00:00,Mongolia,Ixodes persulcatus,MucAr M14/10,
JQ650522.1,2001-01-27 00:00:00,China,Homo sapiens,MDJ01,
JQ650523.1,1953-01-27 00:00:00,China,Homo sapiens,Senzhang,
JQ654701.1,1992-01-27 00:00:00,Slovenia,Homo sapiens,,Ljubljana I
JQ825144.1,1998-08-25 00:00:00,Russia,Homo sapiens,,Primorye-828
JQ825145.1,2000-08-07 00:00:00,Russia,Homo sapiens,,Primorye-895
JQ825146.1,1994-04-17 00:00:00,Russia,Homo sapiens,,Kiparis-94
