Pathogen NCBI taxonomy ID,Pathogen species,Pathogen serotype,Pathogen isolate or strain,Host species Latin name,Host species NCBI taxonomy ID,Date observed,Geo text original
11084,Tick-borne encephalitis virus,,92M,Ixodes persulcatus,,2004-06-01 00:00:00,Mongolia
11084,Tick-borne encephalitis virus,,KURG-024-2018,Dermacentor sp.,,2018-01-01 00:00:00,Russia: Kurganskaya oblast
11084,Tick-borne encephalitis virus,,KURG-022-2018,Dermacentor sp.,,2018-01-01 00:00:00,Russia: Kurganskaya oblast
11084,Tick-borne encephalitis virus,,KURG-019-08.2019,Dermacentor sp.,,2019-08-01 00:00:00,Russia: Kurganskaya oblast
11084,Tick-borne encephalitis virus,,HMAO-012-09.2019,Ixodes persulcatus,,2019-09-01 00:00:00,Russia: Khanty-Mansiysky avtonomny okrug
11084,Tick-borne encephalitis virus,,HMAO-011-07.2019,Ixodes persulcatus,,2019-07-01 00:00:00,Russia: Khanty-Mansiysky avtonomny okrug
11084,Tick-borne encephalitis virus,,HMAO-003-06.2019,Ixodes persulcatus,,2019-06-01 00:00:00,Russia: Khanty-Mansiysky avtonomny okrug
11084,Tick-borne encephalitis virus,,HMAO-001-08.2019,Ixodes persulcatus,,2019-08-01 00:00:00,Russia: Khanty-Mansiysky avtonomny okrug
11084,Tick-borne encephalitis virus,,Karl12-T16353,Ixodes persulcatus,,2012-05-01 00:00:00,"Russia: Republic of Karelia, Petrozavodsk"
11084,Tick-borne encephalitis virus,,Karl08-T4309,Ixodes persulcatus,,2008-01-01 00:00:00,Russia: Republic of Karelia
11084,Tick-borne encephalitis virus,,Karl08-T3467,Ixodes persulcatus,,2008-01-01 00:00:00,Russia: Republic of Karelia
11084,Tick-borne encephalitis virus,,Karl08-T3335,Ixodes persulcatus,,2008-01-01 00:00:00,Russia: Republic of Karelia
11084,Tick-borne encephalitis virus,,Karl09-T6076,Ixodes persulcatus,,2009-01-01 00:00:00,Russia: Republic of Karelia
11084,Tick-borne encephalitis virus,,Karl09-T6076,Ixodes persulcatus,,2009-01-01 00:00:00,Russia: Republic of Karelia
11084,Tick-borne encephalitis virus,,Karl08-T4309,Ixodes persulcatus,,2008-01-01 00:00:00,Russia: Republic of Karelia
11084,Tick-borne encephalitis virus,,Karl08-T3467,Ixodes persulcatus,,2008-01-01 00:00:00,Russia: Republic of Karelia
11084,Tick-borne encephalitis virus,,Karl08-T3335,Ixodes persulcatus,,2008-01-01 00:00:00,Russia: Republic of Karelia
11084,Tick-borne encephalitis virus,,Karl14-T20639,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Republic of Karelia
11084,Tick-borne encephalitis virus,,Karl14-T20468,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Republic of Karelia
11084,Tick-borne encephalitis virus,,Karl18-T27118,Ixodes persulcatus,,2018-01-01 00:00:00,Russia: Republic of Karelia
11084,Tick-borne encephalitis virus,,Karl18-T27106,Ixodes persulcatus,,2018-01-01 00:00:00,Russia: Republic of Karelia
11084,Tick-borne encephalitis virus,,Valaam14-T20273,Ixodes persulcatus,,2014-01-01 00:00:00,"Russia: Republic of Karelia, Valaam Island"
11084,Tick-borne encephalitis virus,,Valaam13-T17012,Ixodes persulcatus,,2013-01-01 00:00:00,"Russia: Republic of Karelia, Valaam Island"
11084,Tick-borne encephalitis virus,,Rus/Ix_persulcatus/Karelia/2/2018,Ixodes persulcatus tick,,2018-05-02 00:00:00,"Russia: Gakugsa village, Karelia"
11084,Tick-borne encephalitis virus,,Novosibirsk 19-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Novosibirsk
11084,Tick-borne encephalitis virus,,Novosibirsk 201-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Novosibirsk
11084,Tick-borne encephalitis virus,,Novosibirsk 202-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Novosibirsk
11084,Tick-borne encephalitis virus,,Novosibirsk 14-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Novosibirsk
11084,Tick-borne encephalitis virus,,Novosibirsk 13-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Novosibirsk
11084,Tick-borne encephalitis virus,,Novosibirsk 12-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Novosibirsk
11084,Tick-borne encephalitis virus,,Novosibirsk 11-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Novosibirsk
11084,Tick-borne encephalitis virus,,Novosibirsk 7-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Novosibirsk
11084,Tick-borne encephalitis virus,,Novosibirsk 5-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Novosibirsk
11084,Tick-borne encephalitis virus,,Novosibirsk 3-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Novosibirsk
11084,Tick-borne encephalitis virus,,Novosibirsk 2-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Novosibirsk
11084,Tick-borne encephalitis virus,,Novosibirsk 1-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Novosibirsk
11084,Tick-borne encephalitis virus,,Tomsk 18-f3-2-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Tomsk
11084,Tick-borne encephalitis virus,,Tomsk 17-f73-25-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Tomsk
11084,Tick-borne encephalitis virus,,Komi 28-n121-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Komi
11084,Tick-borne encephalitis virus,,Komi 2-154-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Komi
11084,Tick-borne encephalitis virus,,Komi 1-k76-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Komi
11084,Tick-borne encephalitis virus,,Komi 1-k26-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Komi
11084,Tick-borne encephalitis virus,,Ural-Pyshma 6-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia
11084,Tick-borne encephalitis virus,,Ural 212-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia
11084,Tick-borne encephalitis virus,,Ural 211-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia
11084,Tick-borne encephalitis virus,,Sysert 17-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia
11084,Tick-borne encephalitis virus,,Polevskoy 23-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia
11084,Tick-borne encephalitis virus,,Kamensk-Ural 152-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia
11084,Tick-borne encephalitis virus,,Kamensk-Ural 151-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Yekaterinburg
11084,Tick-borne encephalitis virus,,Ekaterinburg 182-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Yekaterinburg
11084,Tick-borne encephalitis virus,,Ekaterinburg 181-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Yekaterinburg
11084,Tick-borne encephalitis virus,,Ekaterinburg 102-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Yekaterinburg
11084,Tick-borne encephalitis virus,,Ekaterinburg 101-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Ekaterinburg
11084,Tick-borne encephalitis virus,,Artemovsky 4-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Yekaterinburg
11084,Tick-borne encephalitis virus,,Aramill 16-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Yekaterinburg
11084,Tick-borne encephalitis virus,,Vl-35-316-13,Ixodes persulcatus,,2013-01-01 00:00:00,Russia: Vladivostok
11084,Tick-borne encephalitis virus,,Vl-30-290-13,Ixodes persulcatus,,2013-01-01 00:00:00,Russia: Vladivostok
11084,Tick-borne encephalitis virus,,Vl-28-293-13,Ixodes persulcatus,,2013-01-01 00:00:00,Russia: Vladivostok
11084,Tick-borne encephalitis virus,,Vl-17-376-13,Ixodes persulcatus,,2013-01-01 00:00:00,Russia: Vladivostok
11084,Tick-borne encephalitis virus,,Altay 82-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Altay
11084,Tick-borne encephalitis virus,,Altay 81-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Altay
11084,Tick-borne encephalitis virus,,Altay 9-14,Ixodes persulcatus,,2014-01-01 00:00:00,Russia: Altay
11084,Tick-borne encephalitis virus,,Vl-41-286-13,Ixodes persulcatus,,2013-01-01 00:00:00,Russia: Vladivostok
11084,Tick-borne encephalitis virus,,1020-69,Homo sapiens,9606,1969-01-01 00:00:00,Russia
11084,Tick-borne encephalitis virus,,93/783,Homo sapiens,9606,2019-01-01 00:00:00,Sweden
11084,Tick-borne encephalitis virus,,131.19 IR Rig,Ixodes ricinus,,2019-01-01 00:00:00,"Lithuania: Rigmantiskiai, Panevezys county"
11084,Tick-borne encephalitis virus,,15.19 IRn Lek,Ixodes ricinus,,2019-01-01 00:00:00,"Lithuania: Lekeciai, Marijampole county"
11084,Tick-borne encephalitis virus,,161.19 IR Gai,Ixodes ricinus,,2019-01-01 00:00:00,"Lithuania: Gailiai, Panevezys county"
11084,Tick-borne encephalitis virus,,168.19 IR Ast,Ixodes ricinus,,2019-01-01 00:00:00,"Lithuania: Astavas, Panevezys county"
11084,Tick-borne encephalitis virus,,285.19 IRn Kir,Ixodes ricinus,,2019-01-01 00:00:00,"Lithuania: Kirkliai, Telsiai county"
11084,Tick-borne encephalitis virus,,279.19 IR Kir,Ixodes ricinus,,2019-01-01 00:00:00,"Lithuania: Kirkliai, Telsiai county"
11084,Tick-borne encephalitis virus,,274.19 IR Kir,Ixodes ricinus,,2019-01-01 00:00:00,"Lithuania: Kirkliai, Telsiai county"
11084,Tick-borne encephalitis virus,,286.19 IRn Kir,Ixodes ricinus,,2019-01-01 00:00:00,"Lithuania: Kirkliai, Telsiai county"
11084,Tick-borne encephalitis virus,,287.19 IR Maz,Ixodes ricinus,,2019-01-01 00:00:00,"Lithuania: Mazeikiai, Telsiai county"
11084,Tick-borne encephalitis virus,,308.18 IRn Bed,Ixodes ricinus,,2018-01-01 00:00:00,"Lithuania: Bedanciai, Kaunas county"
11084,Tick-borne encephalitis virus,,310.18 IRn Bed,Ixodes ricinus,,2018-01-01 00:00:00,"Lithuania: Bedanciai, Kaunas county"
11084,Tick-borne encephalitis virus,,273.18 IR Alt,Ixodes ricinus,,2018-01-01 00:00:00,Lithuania: Alytus county
11084,Tick-borne encephalitis virus,,270.18 DR Alt,Dermacentor reticulatus,,2018-01-01 00:00:00,Lithuania: Alytus county
11084,Tick-borne encephalitis virus,,267.18 DR Alt,Dermacentor reticulatus,,2018-01-01 00:00:00,Lithuania: Alytus county
