Event.ID	Disease	Serotype	Diagnosis.source	Diagnosis.status	Animal.type	Species	Observation.date..dd.mm.yyyy.	Report.date..dd.mm.yyyy.	Humans.affected	Human.deaths	Latitude	Longitude	Original location	Country	Admin. level 1	Locality	Country OSM ID	Admin. level 1 OSM ID	Locality OSM ID
322674	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	18/05/2022	21/05/2022			43.65	-116.65							
322838	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Duck	15/05/2022	24/05/2022			44.726756	0.257752							
323532	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	13/05/2022	26/05/2022			43.576	-116.354							
322440	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	09/05/2022	19/05/2022			46.518168	19.678617							
322477	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	07/05/2022	19/05/2022			46.532906	19.82251							
321629	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	01/05/2022	06/05/2022			49.89	-112.7							
322695	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	01/05/2022	24/05/2022			46.49305	19.77214							
322840	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Duck	25/04/2022	24/05/2022			46.713722	-0.497662							
321571	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	23/04/2022	06/05/2022			53.51	-110.14							
321136	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	21/04/2022	02/05/2022			44.676438	1.105486							
321064	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	18/04/2022	02/05/2022			46.910901	-0.701332							
320363	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	15/04/2022	25/04/2022			42.5512	141.3558							
321049	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	14/04/2022	02/05/2022			47.077094	-0.459752							
320352	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	10/04/2022	22/04/2022			42.593	-82.864							
320991	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	10/04/2022	02/05/2022			46.777878	-0.2583							
320995	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	07/04/2022	02/05/2022			45.045448	0.806607							
320524	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Large-Billed Crow (Corvus Macrorhynchos)	06/04/2022	27/04/2022			43.8032	143.8947							
319722	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Turkey	04/04/2022	15/04/2022			45.146	-94.501							
