Event.ID	Disease	Serotype	Diagnosis.source	Diagnosis.status	Animal.type	Species	Observation.date..dd.mm.yyyy.	Report.date..dd.mm.yyyy.	Humans.affected	Human.deaths	Latitude	Longitude	Original location	Country	Admin. level 1	Locality	Country OSM ID	Admin. level 1 OSM ID	Locality OSM ID
322831	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Herring Gull:larus Argentatus(Laridae)	17/05/2022	24/05/2022			50.280906	1.59083							
322659	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Great Black-Headed Gull (Ichthyaetus Ichthyaetus)	10/05/2022	21/05/2022			52.7494	5.2019							
322639	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Accipitridae (Incognita)	07/05/2022	18/05/2022			54.333333	13							
322083	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Duck	06/05/2022	13/05/2022			46.554744	19.877308							
322470	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	06/05/2022	19/05/2022			46.538611	19.742222							
322830	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	05/05/2022	24/05/2022			44.563413	2.457476							
321698	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	02/05/2022	09/05/2022			52.11	5.63							
321145	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	24/04/2022	02/05/2022			46.705527	-0.480449							
320571	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Duck	23/04/2022	27/04/2022			46.388589	19.865548							
321569	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	20/04/2022	06/05/2022			51.13	-106.57							
321891	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Barnacle Goose:branta Leucopsis(Anatidae)	20/04/2022	11/05/2022			60.298	22.304							
321252	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	16/04/2022	28/04/2022			43.773	-111.71							
321294	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Egyptian Goose (Alopochen Aegyptiacus)	16/04/2022	29/04/2022			40.3297	-3.7731							
320644	Influenza - Avian	H5N1 HPAI	National authorities	Confirmed	Wild	Bald Eagle (Haliaeetus Leucocephalus)	15/04/2022	26/04/2022			45.56	-111.17							
321053	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	13/04/2022	02/05/2022			44.949241	0.704515							
320988	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	11/04/2022	02/05/2022			44.550719	0.631074							
319745	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Chicken	10/04/2022	15/04/2022			46.017	-94.338							
320531	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Large-Billed Crow (Corvus Macrorhynchos)	08/04/2022	27/04/2022			43.9115	144.6709							
321692	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	08/04/2022	09/05/2022			14.373674	121.057523							
319732	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Turkey	06/04/2022	15/04/2022			45.135	-94.909							
320359	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	05/04/2022	22/04/2022			45.135	-87.632							
319366	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Mute Swan:cygnus Olor(Anatidae)	29/03/2022	11/04/2022			53.571206	20.293103							
319611	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Anatidae (Incognita)	28/03/2022	14/04/2022			48.981	10.133							
318404	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	27/03/2022	04/04/2022			44.98674	1.520264							
319222	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Goose	25/03/2022	08/04/2022			50.86	-0.54							
319396	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Greylag Goose:anser Anser(Anatidae)	24/03/2022	12/04/2022			46.816502	-1.117519							
318417	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Chicken	23/03/2022	04/04/2022			46.665241	-1.032041							
319425	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Swan	23/03/2022	13/04/2022			61.4729	21.8794							
318124	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	21/03/2022	31/03/2022			44.371	-98.269							
316374	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Chicken	16/03/2022	23/03/2022			39.176	-75.499							
316979	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Unspecified Bird	14/03/2022	27/03/2022			37.65	126.8							
318859	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Large-Billed Crow (Corvus Macrorhynchos)	14/03/2022	07/04/2022			45.1239	142.36							
318164	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	13/03/2022	31/03/2022			43.017	-71.05							
319021	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Anatidae (Unidentified):Anatidae (Incognita)(Anatidae)	09/03/2022	07/04/2022			53.572	9.632							
315752	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	08/03/2022	14/03/2022			46.950003	-1.837926							
