country_code,NUTS_level,osm_level
AF,,4
AX,1,3
AL,3,6
DZ,,4
AS,,6
AD,,
AO,,4
AI,,
AQ,,
AG,,4
AR,,4
AM,,4
AW,,
AU,,4
AT,2,4
AZ,,3
BS,,
BH,,4
BD,,4
BB,,6
BY,,4
BE,3,7
BZ,,4
BJ,,4
BM,,6
BT,,4
BO,,3
BQ,,
BA,,4
BW,,4
BV,,
BR,,3
IO,,
BN,,4
BG,3,4
BF,,4
BI,,4
CV,,6
KH,,4
CM,,4
CA,,4
KY,,
CF,,4
TD,,4
CL,,4
CN,,3
CX,,4
CC,,4
CO,,3
KM,,4
CG,,4
CD,,4
CK,,4
CR,,4
CI,,4
HR,3,6
CU,,4
CW,,
CY,,3
CZ,3,6
DK,2,4
DJ,,4
DM,,4
DO,,4
EC,,4
EG,,4
SV,,4
GQ,,3
ER,,4
EE,,6
SZ,,4
ET,,3
FK,,
FO,,4
FJ,,4
FI,3,6
FR,3,6
GF,,
PF,,6
TF,,
GA,,4
GM,,4
GE,,3
DE,3,6
GH,,4
GI,,4
GR,2,5
GL,,4
GD,,6
GP,3,6
GU,,6
GT,,4
GG,,4
GN,,4
GW,,3
GY,,4
HT,,4
HM,,4
VA,,
HN,,4
HK,,5
HU,3,6
IS,,5
IN,,4
ID,,3
IR,,4
IQ,,3
IE,,5
IM,,6
IL,,4
IT,3,6
JM,,5
JP,,4
JE,,
JO,,4
KZ,,4
KE,,3
KI,,
KP,,4
KR,,4
KW,,4
KG,,4
LA,,4
LV,3,6
LB,,4
LS,,5
LR,,4
LY,,4
LI,,6
LT,3,4
LU,3,6
MO,,5
MG,,3
MW,,3
MY,,4
MV,,4
ML,,4
MT,,4
MH,,4
MQ,,
MR,,4
MU,,3
YT,,
MX,,4
FM,,4
MD,,3
MC,,
MN,,4
ME,,6
MS,,6
MA,,4
MZ,,3
MM,,3
NR,,4
NP,,4
NL,2,4
NC,,6
NZ,,4
NI,,4
NE,,4
NG,,4
NU,,
NF,,4
MK,3,4
MP,,6
NO,,4
OM,,4
PK,,4
PW,,4
PS,,
PA,,4
PG,,3
PY,,3
PE,,4
PH,,3
PN,,
PL,2,4
PT,,
PR,,6
QA,,4
RE,3,6
RO,3,4
RU,,3
RW,,4
BL,,
SH,,3
KN,,4
LC,,4
MF,,
PM,,
VC,,6
WS,,4
SM,,
ST,,4
SA,,4
SN,,4
RS,,4
SC,,4
SL,,4
SG,,6
SX,,
SK,3,4
SI,,
SB,,4
SO,,3
ZA,,4
GS,,6
SS,,4
ES,3,6
LK,,4
SD,,4
SR,,4
SJ,,
SE,3,4
CH,,4
SY,,4
TW,,4
TJ,,4
TZ,,3
TH,,4
TL,,4
TG,,4
TK,,
TO,,4
TT,,4
TN,,4
TR,3,4
TM,,4
TC,,6
TV,,
UG,,3
UA,,3
AE,,4
GB,,4
US,,4
UM,,
UY,,4
UZ,,3
VU,,4
VE,,4
VN,,4
VG,,4
VI,,6
WF,,
EH,,6
YE,,4
ZM,,4
ZW,,4
